Object Number,Mask Index,Area,Major Axis Length,Minor Axis Length,Aspect Ratio,Mean Hue,Centroid Row,Centroid Col,Grid Number,Grid Row,Grid Col,Distance To Grid
1,19,1064,44.11577129718888,30.81342478098424,1.4317061998383855,36.725563909774436,307.33364661654133,196.56578947368422,1,1,1,15.156360789441761
2,31,1086,43.74422863517759,31.72180004185114,1.3789957876748813,35.8683241252302,306.69429097605894,283.04327808471453,2,1,2,9.052080280805004
3,13,1005,41.948479292771076,30.597107405940772,1.3709949354436788,35.6179104477612,307.31542288557216,356.16218905472635,3,1,3,10.769883926838977
4,7,1024,41.651634397385074,31.378889144387323,1.3273775947175368,36.0322265625,303.6962890625,439.103515625,4,1,4,9.652135499829312
5,60,1092,44.63423812122251,31.230191895394437,1.4292015326298646,37.3525641025641,306.1263736263736,518.1282051282051,5,1,5,5.947104044601386
6,1,1254,46.856657659860744,34.11639698470222,1.3734351162835645,35.014354066985646,301.04864433811804,676.8373205741627,7,1,7,8.300004511225337
7,10,1043,41.10258942504972,32.3995162536913,1.2686173800624838,36.05177372962608,303.2751677852349,750.810162991371,8,1,8,6.009616942647288
8,25,1012,42.30278377740594,30.595192304583197,1.3826611500352928,36.716403162055336,302.65513833992094,826.7084980237154,9,1,9,7.003136547982474
9,23,1034,43.45980669567142,30.316199733207235,1.4335506124821829,35.77079303675048,301.3394584139265,907.5909090909091,10,1,10,5.246367017640398
10,32,978,42.55726840570099,29.308455916954195,1.452047440721116,39.53885480572597,388.4212678936605,274.1666666666667,12,2,2,11.589817338569993
11,21,1268,47.506938163522314,34.07839320023175,1.3940486537727736,34.67192429022082,385.1167192429022,347.3059936908517,13,2,3,16.86582676521371
12,16,1067,44.95967085849649,30.27685068981987,1.484952028832163,36.3767572633552,384.5154639175258,505.5360824742268,15,2,5,14.087664081490999
13,22,1011,42.02594671170584,30.73013032165244,1.3675811417595707,37.69040553907023,384.02472799208704,585.6261127596439,16,2,6,11.859590969269398
14,55,960,39.834995709414166,30.80137604290613,1.2932862367552753,39.916666666666664,388.075,672.9177083333333,17,2,7,1.8664158243847397
15,30,1121,45.73529223380892,31.34301307533782,1.4591862028030622,34.577163247100806,383.4264049955397,749.1578947368421,18,2,8,4.354725927716142
16,44,1052,43.0968045542099,31.141916443083637,1.383884149614734,33.55703422053232,380.8754752851711,825.518060836502,19,2,9,6.499350264321332
17,41,1043,43.962638986766784,30.2811684536104,1.4518144851020487,36.95397890699904,379.4669223394056,899.8715244487057,20,2,10,9.658348114766008
18,57,937,39.797806099172895,30.125277949362474,1.321076810181435,38.66702241195304,469.96798292422625,193.63393810032017,21,3,1,11.48263222623501
19,49,1006,42.024911655795734,30.554531011457723,1.3754068632255132,34.94234592445328,462.1848906560636,274.0874751491054,22,3,2,12.195653978571096
20,9,1044,43.41806050195818,30.711062515120293,1.4137596340270455,36.747126436781606,467.56226053639847,345.97701149425285,23,3,3,15.09912397807862
21,52,820,37.48606625756749,27.927689412809922,1.3422544809730415,39.484146341463415,463.00853658536585,432.1829268292683,24,3,4,8.639205155653068
22,37,859,38.426100385829315,28.577819082671375,1.3446127667989054,37.131548311990684,450.8009313154831,507.9708963911525,25,3,5,18.794886424737456
23,2,1080,42.53624210657037,32.45264145420537,1.3107174085226372,35.40185185185185,465.7055555555556,581.5546296296296,26,3,6,13.346059930636992
24,20,942,40.62329827688154,29.605368512801412,1.3721598587538595,38.4171974522293,458.4893842887474,663.9872611464968,27,3,7,11.12996880569454
25,39,1083,45.5668855141658,30.309433497790426,1.5033895475970427,35.94090489381348,458.13388734995385,748.859649122807,28,3,8,6.319237657841481
26,45,832,38.09393685139372,27.86648028210443,1.36701644648884,37.31490384615385,457.24399038461536,828.7127403846154,29,3,9,5.823705466309965
27,26,1144,44.04717645712521,33.14912903256191,1.3287581828728685,34.84178321678322,455.2106643356643,900.5620629370629,30,3,10,9.21992069185976
28,58,1090,44.16513512962637,31.50031555886909,1.4020537364804726,39.174311926605505,546.4357798165138,190.84036697247706,31,4,1,12.515721180188288
29,36,936,39.24365550389975,30.46321693642822,1.2882308387126309,34.72542735042735,543.3782051282051,269.7809829059829,32,4,2,12.293879722919408
30,27,1084,42.20467205692978,32.733651495830884,1.289335901382868,35.91143911439114,539.5175276752767,344.6955719557196,33,4,3,16.328811483662783
31,38,1136,44.53101890347977,32.55920910788467,1.3676935074167988,36.27728873239437,537.0536971830986,425.26144366197184,34,4,4,14.974715252575935
32,28,1125,44.12865817393424,32.53237392734065,1.3564536751143117,33.25333333333333,539.0568888888889,507.6453333333333,35,4,5,9.665291222707753
33,46,929,40.0917344612801,29.562724193660067,1.3561583228475964,35.43379978471475,537.3175457481162,582.9214208826695,36,4,6,12.283833703383923
34,42,1004,41.84311505118469,30.632230758281136,1.365983280204717,35.76792828685259,534.0717131474104,669.140438247012,37,4,7,9.278178227378996
35,34,1117,44.27278873599497,32.18938772308945,1.3753846179633324,36.69919427036705,536.468218442256,744.1853178155775,38,4,8,7.503012692349203
36,43,994,39.777465158449075,32.01244477174381,1.2425625547211927,35.60663983903421,533.0784708249497,828.7193158953722,39,4,9,8.113758406218638
37,40,1050,44.38851444030215,30.19564507090286,1.4700303416626073,36.74,539.3295238095238,898.4152380952381,40,4,10,6.817809943545106
38,12,1105,45.04821888500938,31.35795950427451,1.4365800452949977,38.16108597285068,624.0796380090497,190.66244343891404,41,5,1,10.798228308765227
39,14,931,40.99382158880702,28.972729689956672,1.4149105737529948,34.13319011815253,621.6487647690656,267.58968850698176,42,5,2,12.338273238624964
40,15,964,41.06623596220583,29.979219805396852,1.3698233719482285,36.7448132780083,619.4097510373444,341.06016597510376,43,5,3,17.069299296900027
41,3,1124,44.13195123316454,32.54187935922082,1.3561586516256212,37.39946619217082,619.623665480427,423.77491103202846,44,5,4,12.282905278052251
